,Unnamed: 0,Passages,Force,Explicit_Lack_Of_Consent,Threat,Authority,Minor_Injury,Threat_Other,count,Minor,Silent,Severe_Injury,Not_Conscious,clean
60,60,"| woke up in my 
 underwear in my bed covered in bruises and scratches 
 with no recollection of the previous night after taking a 
 sip from my cup atthe table",1,0,0,0,1,,30,,1,,,woke up in my underwear in my bed cover in bruis and scratch with no recollect of the previous night after take a sip from my cup atth tabl
61,61,"Next thing | knew, | 
 woke up inhis bedroom with my pants and underwear 
 down, and zero memory of how got there. 
 He much bigger than me. | begged him tostop 
 and told him he was making ahuge mistake. He raped 
 me anyway, and left the same night.",1,0,0,0,0,,48,,1,,,next thing knew woke up inhi bedroom with my pant and underwear down and zero memori of how got there he much bigger than me beg him tostop and told him he was make ahug mistak he rape me anyway and left the same night
62,62,"| was very uncomfortable and clearly said no 
 multiple times, but he forced himself on me",1,1,0,0,0,,16,,,,,was veri uncomfort and clear said no multipl time but he forc himself on me
63,63,"When he came over, we spoke for a little 
 bit and started making out and he started to 
 undress me. | said | didnç¨š want to but he continued 
 to do it anyway and with him being much taller and 
 stronger than me | couldn't stop him.
 
 After he undressed me, he started to move further 
 and tried to convince me todo things for him. | 
 can't remember how many times | said no. He 
 would just ask why not or make me feel guilty 
 or force me todo itanyway. He got acondom out 
 and | kept saying no but he put it on anyway 
 saying just incase and eventually took his 
 opportunity and raped me and couldn't do a 
 thing.",1,1,0,0,0,,121,,,,,when he came over we spoke for a littl bit and start make out and he start to undress me said didnç š want to but he continu to do it anyway and with him be much taller and stronger than me couldn stop him after he undress me he start to move further and tri to convinc me todo thing for him can rememb how mani time said no he would just ask whi not or make me feel guilti or forc me todo itanyway he got acondom out and kept say no but he put it on anyway say just incas and eventu took his opportun and rape me and couldn do a thing
64,64,"After that he kneeled up on his seat and forced his 
 penis into mymouth and ejaculated in it. I said that I didn't want it, and | was 
 disgustea, traumatised and afraid, still Locked in acar 
 with aman who had just raped me. Hesaid he wanted 
 to have anal sex as well or he wouldn't take me home or 
 let me out so | let him do it to me. It was horrible and | 
 was so afraid of him.",1,1,1,0,0,,80,,,,,after that he kneel up on his seat and forc his peni into mymouth and ejacul in it i said that i didn want it and was disgustea traumatis and afraid still lock in acar with aman who had just rape me hesaid he want to have anal sex as well or he wouldn take me home or let me out so let him do it to me it was horribl and was so afraid of him
65,65,"| walked one of them back into town. On 
 my way home, |was attacked. | don't know who 
 it was, but | remember the feeling, the terror, 
 the absolute disgust at myself for getting so 
 drunk | couldn't get away. He didnt stop, he 
 kept going, he finished.",1,0,0,0,0,,48,,1,,,walk one of them back into town on my way home was attack don know who it was but rememb the feel the terror the absolut disgust at myself for get so drunk couldn get away he didnt stop he kept go he finish
66,66,"|refused to 
 sleep with him, he would slap me around and act as 
 though it was all consensual and | was asking for it, when 
 | never did. He began to physically assault me every now 
 and then and when I'd try to tell my friends, they just 
 pretended like it was no big deal.",1,0,0,0,1,,55,,1,,,refus to sleep with him he would slap me around and act as though it was all consensu and was ask for it when never did he began to physic assault me everi now and then and when i d tri to tell my friend they just pretend like it was no big deal
67,67,"As | tried leave he pulled meback and 
 said he wanted me toStay. |tried to leave again 
 and hepulled me back saying my bed my rules.
 | forced myself out and when | got home | found | 
 had bruises and love bites covering the entire 
 area from the top of my breasts to my jaw.",1,0,1,0,0,,56,,1,,,as tri leav he pull meback and said he want me tostay tri to leav again and hepul me back say my bed my rule forc myself out and when got home found had bruis and love bite cover the entir area from the top of my breast to my jaw
68,68,"| woke up in aboy's bed 
 with no memory of how |got there with my dress 
 still on but gathered at my waist, my shoes still on 
 and my knickers around my ankles.",1,0,0,0,0,,33,,1,,,woke up in aboy bed with no memori of how got there with my dress still on but gather at my waist my shoe still on and my knicker around my ankl
69,69,"I was so frozen with fear I didnâ€˜t
 know what to do. ithought I was making it
 up so I ignored it until his finger was fully
 inside me. i tried to move away but it was so
 crowded I had nowhere to go. At the next
 stop I turned around to see his face but he
 got off before I could. Iâ€™ve never told anyone
 about this",1,0,0,0,0,,68,,1,,,i was so frozen with fear i didnâ know what to do ithought i was make it up so i ignor it until his finger was fulli insid me i tri to move away but it was so crowd i had nowher to go at the next stop i turn around to see his face but he got off befor i could iâ never told anyon about this
70,70,"I was very very visibly drunk and canâ€™t
 remember even going out. He remembers. |
 woke up in his bed the next morning with
 no idea where I was to be told we had sex.",1,0,0,0,0,,35,,1,,,i was veri veri visibl drunk and canâ rememb even go out he rememb woke up in his bed the next morn with no idea where i was to be told we had sex
71,71,"forced
 himself into my room and raped
 
 me. Heâ€˜s going to be a fourth year
 
 now and I still see him all the time",1,0,0,0,0,,24,,1,,,forc himself into my room and rape me heâ go to be a fourth year now and i still see him all the time
72,72,"The first time I met that friend of theirs,
 he grabbed me around the waist and pulled it
 towards his crotch, not letting go when i tried
 to get away, and trying to take me home.",1,1,0,0,0,,36,,,,,the first time i met that friend of their he grab me around the waist and pull it toward his crotch not let go when i tri to get away and tri to take me home
73,73,"I said no.he forced his hands up my skort and
 â€˜was a lot bigger than me so I couldnâ€™t
 stop him until I hit his nose
 and ran away.",1,1,0,0,0,,29,,,,,i said no he forc his hand up my skort and â was a lot bigger than me so i couldnâ stop him until i hit his nose and ran away
74,74,"a member of
 their club came up to me in the
 union and slide his hand up my
 skirt. I tried to push him off but
 he was strong.",1,1,0,0,0,,29,,,,,a member of their club came up to me in the union and slide his hand up my skirt i tri to push him off but he was strong
75,75,"tried to get back into the same room as
 her one of the many men bfocked the door
 whilst another grabbed me with his hand over
 my mouth, after that two of the guys placed
 their penises on my face and made me touch
 them with my handâ€˜ All I remember them
 saying was â€loosen up, we just want some fun"". I tried to leave.",1,1,0,0,0,,65,,,,,tri to get back into the same room as her one of the mani men bfock the door whilst anoth grab me with his hand over my mouth after that two of the guy place their penis on my face and made me touch them with my handâ all i rememb them say was â loosen up we just want some fun i tri to leav
76,76,"finger and touch me despite me saying no
 and pushing him away which he didnâ€˜t stop until he fell asleep and was no longer drunk in the morning when we
 wen both sober he Hid he wanted to have sex.",1,1,0,0,0,,40,,,,,finger and touch me despit me say no and push him away which he didnâ stop until he fell asleep and was no longer drunk in the morn when we wen both sober he hid he want to have sex
77,77,"He
 will guilt us, take advantage of us
 when weâ€™re drunk, say we donâ€™t like
 him as a person if we donâ€™t like him
 that way.",1,0,0,0,0,,26,,,,1,he will guilt us take advantag of us when weâ re drunk say we donâ like him as a person if we donâ like him that way
78,78,"He angrily told me that he
 wouldnâ€™t leave unless I had sex with him and
 kept pushing me to undress. I was so scared
 that I thought the faster I gave him what he
 wanted the sooner he would leave, ",1,0,1,0,0,,50,,1,,,he angrili told me that he wouldnâ leav unless i had sex with him and kept push me to undress i was so scare that i thought the faster i gave him what he want the sooner he would leav
0,0,"My friend's brother was visiting her in St Andrews 
 and we all went out together, we then went back 
 to her flat and he got me more and more drunk 
 as the night went on, we ended up sleeping 
 together but | have no recollection of him coming 
 back to my flat or how the night progressed, | 
 only remember him leaving in the morning ana 
 having very brief memories of certain parts of 
 what had happened.",1,0,0,,,,77,,,,1,my friend brother was visit her in st andrew and we all went out togeth we then went back to her flat and he got me more and more drunk as the night went on we end up sleep togeth but have no recollect of him come back to my flat or how the night progress onli rememb him leav in the morn ana have veri brief memori of certain part of what had happen
1,1,"He leaned in to kiss me 
 ery immediately and | just awkwardly looked around for my friend, 
 and pretended not to notice. By the time | had looked around, allo 
 my friends had disappeared. | asked ""did you see where my friend X 
 went"" and he said ""X and her friends don't like me"" (a red flag | 
 should've picked up on). As seems to always be the case, | could spot 
 some of my friends dispersed across different areas of the room ina 
 distance who | tried to get eye contact with but didn't manage to, 
 and most of them haa left without me or forgotten me.Then everything happened a bit 
 too fast. What was initially a consensual kiss was suddenly me 
 looking down the bed, my trousers and underwear were off,
 and he was going down on me, all without warning and at 
 such speed. | asked him to stop and we started to have 
 consensual sex but | suddenly realised how drunk I actually 
 was (which, in fairness, he might not have realised since | 
 dian't earlier... But the room was spinning). It was unpleasant 
 and hurt alot and | asked him tostop and started crying. He 
 did, but then things took aweird turn.",1,1,0,,,,207,,,,,he lean in to kiss me eri immedi and just awkward look around for my friend and pretend not to notic by the time had look around allo my friend had disappear ask did you see where my friend x went and he said x and her friend don like me a red flag should pick up on as seem to alway be the case could spot some of my friend dispers across differ area of the room ina distanc who tri to get eye contact with but didn manag to and most of them haa left without me or forgotten me then everyth happen a bit too fast what was initi a consensu kiss was sudden me look down the bed my trouser and underwear were off and he was go down on me all without warn and at such speed ask him to stop and we start to have consensu sex but sudden realis how drunk i actual was which in fair he might not have realis sinc dian earlier but the room was spin it was unpleas and hurt alot and ask him tostop and start cri he did but then thing took aweird turn
2,2,"I started to try to get out and leave and put my clothes back on and he Kept grabbing me and
 pulling me back onto the back onto the bed. He told me I was easy to throw 
 and that he would be staying overnight and then I could give him a blowjob in the morning. He fought me and pushed me, I became stressed and he tried forcing kisses on me. He wouldn't stop.",1,1,1,,,,75,,,,,i start to tri to get out and leav and put my cloth back on and he kept grab me and pull me back onto the back onto the bed he told me i was easi to throw and that he would be stay overnight and then i could give him a blowjob in the morn he fought me and push me i becam stress and he tri forc kiss on me he wouldn stop
3,3,"Not long after starting uni an American student in 
 my halls who | was friends with started making 
 very sexually explicit comments to me, telling me 
 what he could do to me. | told him | had a 
 boyfriend back home but he didn't care. This 
 escalated to the point where one night when | 
 was really drunk he brought me back to him 
 room and forcibly performed oral sex on me. | 
 had been sexually assaulted before | came touni 
 and this triggered alot of those memories so | 
 just completely shut down.",1,0,0,,,,94,,,,,not long after start uni an american student in my hall who was friend with start make veri sexual explicit comment to me tell me what he could do to me told him had a boyfriend back home but he didn care this escal to the point where one night when was realli drunk he brought me back to him room and forcibl perform oral sex on me had been sexual assault befor came touni and this trigger alot of those memori so just complet shut down
4,4,"| went to say goodbye to my friend. Next thing | 
 remember he took me upstairs and pulling down 
 my jeans. | batted his hands off me and passed 
 out. When | woke up | was alone and naked.",1,1,0,,,,39,,,,,went to say goodby to my friend next thing rememb he took me upstair and pull down my jean bat his hand off me and pass out when woke up was alon and nake
5,5,"One evening | ended up back at his house 
 hanging out with of his friends. |got really 
 drunk and found my way tohis room as | wanted 
 to sleep. He came in later in the evening, when | 
 was half asleep, and instigated sex with me. | 
 remember feeling overwhelmed and like | was 
 going to vomit, and have hardly any recollection 
 of the actual event. In my eyes, | was way too 
 drunk to even myhead up let alone make a 
 decision like that.| was still drunk the next 
 morning at 11am. | remember walking home and 
 feeling completely disgusting. | later found out 
 he'd given me an STI. I've felt so much shame and 
 confusion over this.",1,0,0,,,,119,,1,,,one even end up back at his hous hang out with of his friend got realli drunk and found my way tohi room as want to sleep he came in later in the even when was half asleep and instig sex with me rememb feel overwhelm and like was go to vomit and have hard ani recollect of the actual event in my eye was way too drunk to even myhead up let alon make a decis like that was still drunk the next morn at am rememb walk home and feel complet disgust later found out he d given me an sti i felt so much shame and confus over this
6,6,"I wanted to leave, but I didn't know how to say it. He unzipped his trousers and forced my head 
 down and shoved his cock in my mouth. | was 
 young, | didn't Know what to do, I didn't do anythin to stop him 
 from forcing me to give him head.",1,0,0,,,,46,,1,,,i want to leav but i didn know how to say it he unzip his trouser and forc my head down and shove his cock in my mouth was young didn know what to do i didn do anythin to stop him from forc me to give him head
7,7,"He took me back to his, 
 and even though | was so drunk | couldn't stand 
 or speak properly he kept pushing himself onto 
 me. | only have flashes of memory here and 
 there but | remember him fingering me even 
 though | clearly wasn't in a position to give 
 consent. | don't remember the details, but | will 
 never forget how scared | was. |trusted him 
 he knew | wouldn't have said yes. 
 He took advantage of me.",1,0,0,,,,79,,,,1,he took me back to his and even though was so drunk couldn stand or speak proper he kept push himself onto me onli have flash of memori here and there but rememb him finger me even though clear wasn in a posit to give consent don rememb the detail but will never forget how scare was trust him he knew wouldn have said yes he took advantag of me
8,8,"The second time we had sex, he asked me to give 
 him a blowjob, and when | clearly said no, tried to 
 physically push mearound to force me into it. 
 After a literal physical struggle, he stopped trying 
 and went tosleep. | stayed the night in his room, 
 on the floor, trying process what happened, 
 thinking that perhaps | overreacted.",1,1,0,,,,60,,,,,the second time we had sex he ask me to give him a blowjob and when clear said no tri to physic push mearound to forc me into it after a liter physic struggl he stop tri and went tosleep stay the night in his room on the floor tri process what happen think that perhap overreact
9,9,"| was dating him and | would always have totell 
 him to stop multiple times before he would 
 listen, | would say no to something and for afew 
 moments he'd stop but then start up again. | 
 would take my sleeping medication and he would 
 try to start something when |couldn't stay awake 
 and | would tell him over and over again to stop 
 but it would take forever for him to listen.",1,1,0,,,,73,,,,,was date him and would alway have totel him to stop multipl time befor he would listen would say no to someth and for afew moment he d stop but then start up again would take my sleep medic and he would tri to start someth when couldn stay awak and would tell him over and over again to stop but it would take forev for him to listen
10,10,"| was too drunk to 
 resist and remember just saying no this is nota 
 good idea over and over again. 
 His excuse was | flirted with him two years back. 
 He didn't use acondom. 
 He kicked me out right after.",1,0,0,,,,40,,,,1,was too drunk to resist and rememb just say no this is nota good idea over and over again his excus was flirt with him two year back he didn use acondom he kick me out right after
11,11,"He started doing things | didn't want him to and 
 then tried to have sex with me and | told him to get 
 off and stop afew times but he wouldn't until | got 
 off the bed bearing in mind he isalot stronger 
 than me. He then yelled at me and stormed out.",1,1,0,,,,53,,,,,he start do thing didn want him to and then tri to have sex with me and told him to get off and stop afew time but he wouldn until got off the bed bear in mind he isalot stronger than me he then yell at me and storm out
12,12,"| was so drunk | don't even remember 
 his name or much of what we actually did. It 
 was my first intimate experience and | have 
 very little memory of it.",1,0,0,,,,31,,,,1,was so drunk don even rememb his name or much of what we actual did it was my first intim experi and have veri littl memori of it
13,13,"kept hitting on 
 me/touching me and just followed us to this other 
 party. | was more weirded out than anything else 
 but then | went to the bathroom and she 
 somehow got in and pinned me against awall and 
 started kissing me. | was really uncomfortable but 
 so drunk | didn't do anything. We somehow ended 
 up at mine and | pretended to pass out she 
 kept trying initiate sex/touching me all night 
 until she left in the morning.",1,0,0,,,,79,,,,1,kept hit on me touch me and just follow us to this other parti was more weird out than anyth els but then went to the bathroom and she somehow got in and pin me against awal and start kiss me was realli uncomfort but so drunk didn do anyth we somehow end up at mine and pretend to pass out she kept tri initi sex touch me all night until she left in the morn
14,14,"| again told him to fuck off but 
 he moved infront of meto try and pull it 
 over my head. He backed me up against the 
 rocks and said he wouldn't move until my top 
 was Off.",1,1,1,,,,49,,1,,,again told him to fuck off but he move infront of meto tri and pull it over my head he back me up against the rock and said he wouldn move until my top was off
15,15,"he then touched me and 
 rubbed against meuntil | gave in to making 
 out with him. | had said | was uncomfortable, 
 and didn't want the negative reputation.",1,1,0,,,,28,,,,,he then touch me and rub against meuntil gave in to make out with him had said was uncomfort and didn want the negat reput
16,16,"man followed me into the ladies 
 and was breathing behind me, pushed 
 me against the wall. | managed to fight 
 him off and when | told my friends they 
 said that | was violent.",1,0,0,,,,34,,1,,,man follow me into the ladi and was breath behind me push me against the wall manag to fight him off and when told my friend they said that was violent
17,17,"| don't remember 
 much after that, except struggling to find my way 
 home, with my bodysuit unclipped and falling off.",1,0,0,,,,20,,,,1,don rememb much after that except struggl to find my way home with my bodysuit unclip and fall off
18,18,"| said no countless 
 times, yet he continued to attempt rape. He 
 touched me and manipulated me into touching 
 him against my will. | felt trapped - like | had to 
 do things for him in order to stop him from doing 
 things to me.",1,1,0,,,,45,,,,,said no countless time yet he continu to attempt rape he touch me and manipul me into touch him against my will felt trap like had to do thing for him in order to stop him from do thing to me
19,19,"| woke up again he was kissing on 
 ny face and touching my body. |didn't know what to 
 do so | just pretended to be asleep and when my 
 alarm went off at 7am for atrip that morning he 
 sprinted out of myroom.",1,0,0,,,,43,,1,,,woke up again he was kiss on ny face and touch my bodi didn know what to do so just pretend to be asleep and when my alarm went off at am for atrip that morn he sprint out of myroom
79,79,"So, I smoked weed the first time in college. I only hit once or twice and there was a bunch of people around. I don't remember much besides falling asleep in the couch. A few months later, I ended up smoking again with just one other person. So he was high and fell asleep on the couch, I was feeling weird so I went in his room. I was laying in the bed and that's when it started. I started to ""remember"" things. It was as if I had died and was watching a replay of my life and this particular moment was one that I distinctly clued my past self in on that, ""Hey... you're gonna die."" I was terrified but I couldn't move because everytime I did it was like ""Oh shit!! This is exactly what happened in my checkpoint!!"" Eventually I ended up closing my eyes so I'd just fall asleep and accepted my death.",,,,,,,158,,,,,so i smoke weed the first time in colleg i onli hit onc or twice and there was a bunch of peopl around i don rememb much besid fall asleep in the couch a few month later i end up smoke again with just one other person so he was high and fell asleep on the couch i was feel weird so i went in his room i was lay in the bed and that when it start i start to rememb thing it was as if i had die and was watch a replay of my life and this particular moment was one that i distinct clu my past self in on that hey you re gonna die i was terrifi but i couldn move becaus everytim i did it was like oh shit this is exact what happen in my checkpoint eventu i end up close my eye so i d just fall asleep and accept my death
80,80,"Ok so I got home from college at about 8 o'clock on a Friday night, I was super horny that day and wanted to get off before going to bed. My walk in robe has a light behind my bed, and I have a large window. This makes it possible to see into my room at night. Luckily I live in a pretty quiet area, with my house and another house really close to each other, probably 10 meters apart, our windows face each other. My neighbour goes to the same college as me, and this is pretty common for my area.",,,,,,,102,,,,,ok so i got home from colleg at about o clock on a friday night i was super horni that day and want to get off befor go to bed my walk in robe has a light behind my bed and i have a larg window this make it possibl to see into my room at night luckili i live in a pretti quiet area with my hous and anoth hous realli close to each other probabl meter apart our window face each other my neighbour goe to the same colleg as me and this is pretti common for my area
81,81,"So anyway Im naked and going at it with my vibrator, when I glance out my window for a second and see my neighbour has his blinds open and is going at it too, he hasn't seen me yet, but the odds of this happening must be so fricking low, we laugh about it to this day. We have seen each other around and flirted a fair bit, so I think, what the hell and I call his phone, he answers and keeps jerking off while on the phone with me, I can just see him having fun and listening to my voice and embracing it. So I tell him to look into my room for a sec and our eyes connect. He came over to my house after that and we had sex. Best sex of my life. Now we are engaged and getting married after covid.",,,,,,,148,,,,,so anyway im nake and go at it with my vibrat when i glanc out my window for a second and see my neighbour has his blind open and is go at it too he hasn seen me yet but the odd of this happen must be so frick low we laugh about it to this day we have seen each other around and flirt a fair bit so i think what the hell and i call his phone he answer and keep jerk off while on the phone with me i can just see him have fun and listen to my voic and embrac it so i tell him to look into my room for a sec and our eye connect he came over to my hous after that and we had sex best sex of my life now we are engag and get marri after covid
82,82,"When my wife and I were still dating, we went on a date with a good friend of mine. He had just been dating a gal for about 2 weeks and this was the first time we meet her. From the start I knew there would be a problem. When she saw us, there was just this look on her face, that ï¿½WTF am I seeingï¿½ look. She never said anything to us other than Hi, and made a few comments about where we are going and what we had planned.",,,,,,,91,,,,,when my wife and i were still date we went on a date with a good friend of mine he had just been date a gal for about week and this was the first time we meet her from the start i knew there would be a problem when she saw us there was just this look on her face that ï ½wtf am i seeingï ½ look she never said anyth to us other than hi and made a few comment about where we are go and what we had plan
83,83,"I walk in to a candle holocaust. She's been working on this all day apparently, and its as bright as high noon in there with the lights off.
 
 Which is good, because she proceeds to do a sweet, sexy little dance for me. At 16, she was AMAZING. For those of you who never experienced a female at that age, I pity the fool.
 
 Now I'm sitting on the bed, watching this dance. I smile and tell her how good she looks. Unfortunately, most of my attention is focused on the dull throbbing from my sphincter and the large amount of intestinal discomfort associated with not dropping duce in days. But somehow I still get hard and we go to town.
 
 She starts out on top, then we switch. I bend her over the bed, and I even smack her ass (a ballsy move at the time, but she loved it). Due to my built up distraction, I last for what seems like FOREVER. She can't stop moaning and telling me how good it feels, and then she says what every man wants to hear ""I want to make you go in my mouth.""",,,,,,,194,,,,,i walk in to a candl holocaust she been work on this all day appar and it as bright as high noon in there with the light off which is good becaus she proceed to do a sweet sexi littl danc for me at she was amaz for those of you who never experienc a femal at that age i piti the fool now i sit on the bed watch this danc i smile and tell her how good she look unfortun most of my attent is focus on the dull throb from my sphincter and the larg amount of intestin discomfort associ with not drop duce in day but somehow i still get hard and we go to town she start out on top then we switch i bend her over the bed and i even smack her ass a ballsi move at the time but she love it due to my built up distract i last for what seem like forev she can stop moan and tell me how good it feel and then she say what everi man want to hear i want to make you go in my mouth
84,84,"I stripped naked and told him he could follow me into my room or leave. When he came into my room we did the usual stuff, kissing, feeling up etc. once i got his pants off i made sure to bring my ï¿½Aï¿½ game when it came to giving head. I asked him what position he preferred. He let me choose so I rode him until he finished. I went down on him again right after. He didnï¿½t cum but he was appreciative.",,,,,,,83,,,,,i strip nake and told him he could follow me into my room or leav when he came into my room we did the usual stuff kiss feel up etc onc i got his pant off i made sure to bring my ï ½aï ½ game when it came to give head i ask him what posit he prefer he let me choos so i rode him until he finish i went down on him again right after he didnï ½t cum but he was appreci
85,85,The next day we ended up having sex 5-6 more times. He left that night absolutely beaming. I saw him again like 4 months later and he told me had had a steady girlfriend and thanked me for giving him some confidence. ?it made me feel really good actually. I think of him fondly and when I found this sub I thought Iï¿½d tell my story.,,,,,,,66,,,,,the next day we end up have sex more time he left that night absolut beam i saw him again like month later and he told me had had a steadi girlfriend and thank me for give him some confid it made me feel realli good actual i think of him fond and when i found this sub i thought iï ½d tell my stori
86,86,"Right from the get go, it was clear that they had some evident tension going on. The two of them were sitting together but were glued to their phones. Ellie and I on the other hand were passionately making out for all to see. Ellie is a really confident, freaky girl, so she had no problem grinding on my lap while she kissed me. If anything, she was marking her territory. Every so often, I could see Stacey looking up from her phone to stare at us. Eventually, things got wild and the host declared that it was time for the traditional ""Blow-job"" contest that our high school was notorious for.",,,,,,,111,,,,,right from the get go it was clear that they had some evid tension go on the two of them were sit togeth but were glu to their phone elli and i on the other hand were passion make out for all to see elli is a realli confid freaki girl so she had no problem grind on my lap while she kiss me if anyth she was mark her territori everi so often i could see stacey look up from her phone to stare at us eventu thing got wild and the host declar that it was time for the tradit blow job contest that our high school was notori for
87,87,"I grab her arm and pull her up. There was a bathroom just a bit further along the back hallway. We go in, lock the door and I toss her against the wall, pulling her tight jeans down to her knees.",,,,,,,41,,,,,i grab her arm and pull her up there was a bathroom just a bit further along the back hallway we go in lock the door and i toss her against the wall pull her tight jean down to her knee
88,88,"I am pretty short and he is pretty tall so I had to pull his head down to kiss me. He wasn't a very good kisser at all haha, and it was at that point that he stopped and said, ""I just want you to know, I have never actually done this before.""",,,,,,,53,,,,,i am pretti short and he is pretti tall so i had to pull his head down to kiss me he wasn a veri good kisser at all haha and it was at that point that he stop and said i just want you to know i have never actual done this befor
89,89,"asked if she was okay with me rubbing and touching myself and she just nodded, again eyes glued to the screen. After a while, I invited her to join and she hesitantly put a hand into her underwear she got into it fast and ended up taking her bottoms off.",,,,,,,50,,,,,ask if she was okay with me rub and touch myself and she just nod again eye glu to the screen after a while i invit her to join and she hesit put a hand into her underwear she got into it fast and end up take her bottom off
90,90,"You could tell we had both wanted it since the drive to the reception. After the brief deep kiss, I had laid my right hand on her left thigh to test the waters. She didn't resist. I leaned in a little closer and slipped my hand under her dress and started rubbing her leg",,,,,,,54,,,,,you could tell we had both want it sinc the drive to the recept after the brief deep kiss i had laid my right hand on her left thigh to test the water she didn resist i lean in a littl closer and slip my hand under her dress and start rub her leg
91,91,"I knew he was into me so I was starting to feel more comfortable and continued to really show case my ass and now I was fully laying my chest on the floor, knees spread apart and my ass hiked up in the air and back arched as much as possible... not gonna lie I was really really wanting him to kneel down behind me and start to grab my ass.",,,,,,,71,,,,,i knew he was into me so i was start to feel more comfort and continu to realli show case my ass and now i was fulli lay my chest on the floor knee spread apart and my ass hike up in the air and back arch as much as possibl not gonna lie i was realli realli want him to kneel down behind me and start to grab my ass
92,92,"Back in my room he was texting me about how fun it all was and we should do it again, I said for sure.",,,,,,,24,,,,,back in my room he was text me about how fun it all was and we should do it again i said for sure
93,93,She had agreed. I grabbed her waist and pulled her down on the ground with me. We laid on the grass while we made out. I pulled her on top so that I could grab her ass and pull her closer.,,,,,,,41,,,,,she had agre i grab her waist and pull her down on the ground with me we laid on the grass while we made out i pull her on top so that i could grab her ass and pull her closer
94,94,From there we had a pretty wild time together and he was really rough with me which I love.,,,,,,,19,,,,,from there we had a pretti wild time togeth and he was realli rough with me which i love
95,95,"I didn't even think, I just said yes. Later I thought it was the craziest thing I've ever done, not having sex with a guy, but getting of on his station. But luckily, nothing bad happened, on the contrary.",,,,,,,39,,,,,i didn even think i just said yes later i thought it was the craziest thing i ever done not have sex with a guy but get of on his station but luckili noth bad happen on the contrari
96,96,"One morning, after a very hard and stressful shift, Dr. Gale texts me and asked if I wanted to come over to her place for breakfast, mimosas, and sex? Of course, sex can make even the worst shift disappear.",,,,,,,39,,,,,one morn after a veri hard and stress shift dr gale text me and ask if i want to come over to her place for breakfast mimosa and sex of cours sex can make even the worst shift disappear
97,97,I said no but he continued,,1,,,,,6,,,,,i said no but he continu
98,98,I politely declined but he continued,,1,,,,,6,,1,,,i polit declin but he continu
99,99,"I shrugged him off and tried to but he refused and continued, he ended up penetrating me and I got bruises.",1,1,,,1,,21,,,,,i shrug him off and tri to but he refus and continu he end up penetr me and i got bruis
100,100,"I was with two of my friends, and then these guys came to me and threatened that they will hurt us if we do not do what they ask. So we listened, and they ended up groping raping touching us.",1,,1,,1,,40,,1,,,i was with two of my friend and then these guy came to me and threaten that they will hurt us if we do not do what they ask so we listen and they end up grope rape touch us
101,101,"He blocked the door and said that it is pointless to try to escape because he can pin me down, so I stayed in the bed. Then he had sex with me.",1,,1,,,,26,,1,,,he block the door and said that it is pointless to tri to escap becaus he can pin me down so i stay in the bed then he had sex with me
102,102,"I tried to politely decline, but he didn't take no for an answer.",,1,,,,,13,,,,,i tri to polit declin but he didn take no for an answer
103,103,"He said that I was giving blue balls, I gave him consent but I realized I didn't want it anymore so I told him. But he continued to touch me.",1,1,,,,,30,,,,,he said that i was give blue ball i gave him consent but i realiz i didn want it anymor so i told him but he continu to touch me
104,104,"Told me that if I didn't listen she would hurt me really bad, so then she gave blowjob.",1,,1,,,,18,,1,,,told me that if i didn listen she would hurt me realli bad so then she gave blowjob
107,107,"friend group They said that they have weapons so do as they say, and so we listened. We were really scared and they hurt beat us really bad, we were bleeding.",1,,1,,,1,31,,1,,,friend group they said that they have weapon so do as they say and so we listen we were realli scare and they hurt beat us realli bad we were bleed
108,108,"I was beat really bad, I said no a lot but he kept trying to get closer, he raped touched clothes unzip.",1,1,,,1,,22,,,,,i was beat realli bad i said no a lot but he kept tri to get closer he rape touch cloth unzip
109,109,"He drugged me then said that I will regret if I try to leave, so I listened, but he ended up pushing me and I couldn't walk.",1,,,,1,,27,,1,,,he drug me then said that i will regret if i tri to leav so i listen but he end up push me and i couldn walk
110,110,"I screamed and trying to push him away, but he kept groping me.",1,1,,,,,13,,,,,i scream and tri to push him away but he kept grope me
111,111,"He kept coming closer and I told him to stop, so he did.",,1,,,,,13,,,,,he kept come closer and i told him to stop so he did
112,112,He kept grabbing me and I tried to show him that I didn't want it by pushing him away but he wouldn't stop.,,1,,,,,23,,,,,he kept grab me and i tri to show him that i didn want it by push him away but he wouldn stop
113,113,"Grope sex touch unzip I told him to stop and that I didn't want sex but he didn't stop, and then put me in his room and told me if I try to leave he will use force on me.",1,1,1,,,,40,,,,,grope sex touch unzip i told him to stop and that i didn want sex but he didn stop and then put me in his room and told me if i tri to leav he will use forc on me
114,114,"He kept following me and then I told him that I was too tired but he didn't stop, he unzipped his pants and penetrated me. He then started hitting me and I was bleeding.",1,1,,,1,,34,,,,,he kept follow me and then i told him that i was too tire but he didn stop he unzip his pant and penetr me he then start hit me and i was bleed
115,115,"He wouldn't leave and I said that I was too drunk so I asked him to leave, but he then pinned me down and grope sex fuck.",1,1,,,,,27,,,,,he wouldn leav and i said that i was too drunk so i ask him to leav but he then pin me down and grope sex fuck
116,116,"I was blue purple really hurt, he beat me up pushed.",,,,,1,,11,,,,,i was blue purpl realli hurt he beat me up push
